os_id;country_id;url_id;browser;latency;age;gender;registered;date_id
IOS14_7  ;GE;/apis/cloud/statusIndicators/specification  ;Edge      ;507;51+  ;M;0;15
A9       ;FI;/packages                                   ;Opera     ;441;51+  ;F;0;15
IOS14_6  ;SG;/apis/onSite/pGateway/security              ;Opera     ;340;31-50;M;0;15
MI10_14  ;PT;/                                           ;Firefox   ;303;51+  ;M;1;16
IOS15_4  ;RS;/                                           ;Firefox   ;669;18-30;F;0;16
MI10_14  ;MY;/apis/onSite/pGateway/specification         ;Chrome    ;427;31-50;F;1;17
IOS15_4_1;EE;/apis/cloud/robot/introduction              ;Chrome    ;352;31-50;M;1;17
A8_0_0   ;VE;/                                           ;Chrome    ;329;18-30;M;0;17
IOS15_6  ;NZ;/apis/cloud/robot/usage                     ;Edge      ;513;51+  ;F;0;17
IOS15_4  ;BR;/                                           ;Edge      ;1191;18-30;M;0;17
MI10_14  ;BH;/packages                                   ;Opera     ;243;31-50;M;0;17
IOS15_6_1;HR;/                                           ;Safari    ;532;51+  ;M;1;17
MI10_13  ;UA;/apis/cloud/robot/specification             ;Safari    ;581;18-30;M;1;17
IOS15_4  ;HR;/                                           ;Chrome    ;727;51+  ;F;0;18
A8_0_0   ;EE;/packages                                   ;Chrome    ;237;31-50;M;0;18
IOS13_2_3;UA;/apis/cloud/liveVisualization/introduction  ;Chrome    ;701;18-30;F;1;18
IOS15_3  ;PL;/news                                       ;Chrome    ;396;31-50;F;0;18
A6       ;PT;/                                           ;Chrome    ;562;51+  ;M;1;18
A10      ;CR;/apis/onSite/pGateway/security              ;Chrome    ;542;51+  ;F;0;18
A6       ;ID;/apis/onSite/pGateway/deployment            ;Chrome    ;421;51+  ;F;0;18
IOS15_3  ;GB;/                                           ;Edge      ;390;51+  ;F;0;18
A11      ;GR;/apis/onSite/pGateway/introduction          ;Edge      ;544;31-50;F;0;18
A9       ;NO;/                                           ;Edge      ;261;18-30;F;1;18
A11      ;LT;/apis/cloud/liveVisualization/specification ;Edge      ;921;31-50;M;0;18
IOS16_0  ;MX;/                                           ;Edge      ;198;18-30;M;1;18
IOS13_2_3;BA;/                                           ;Edge      ;341;51+  ;F;0;18
A10      ;BE;/                                           ;Firefox   ;161;31-50;F;1;18
A12      ;SK;/apis/onSite/pGateway/specification         ;Firefox   ;380;18-30;M;0;18
A9       ;NL;/apis/onSite/pGateway/security              ;Firefox   ;485;31-50;M;1;18
IOS13_2_3;VN;/apis/cloud/liveVisualization/introduction  ;Firefox   ;485;51+  ;F;0;18
W8_1     ;SG;/apis/onSite/pGateway/hardware              ;Firefox   ;348;31-50;F;0;18
IOS15_3  ;RO;/apis/onSite/pGateway/introduction          ;Opera     ;187;31-50;F;0;18
IOS13_2_3;BG;/                                           ;Opera     ;1109;31-50;M;0;18
MI10_14  ;BG;/apis/onSite/pGateway/introduction          ;Opera     ;364;18-30;M;1;18
W8_1     ;MX;/apis/onSite/pGateway/hardware              ;Safari    ;460;18-30;M;1;18
IOS15_3_1;RO;/packages                                   ;Safari    ;420;51+  ;M;0;18
A12      ;IE;/apis/cloud/liveVisualization/specification ;Safari    ;526;18-30;M;1;18
MI10_15  ;BE;/apis/cloud/liveVisualization/specification ;Safari    ;1084;31-50;M;0;18
W8_1     ;SI;/apis/onSite/pGateway/security              ;Safari    ;861;51+  ;F;1;18
A12      ;DK;/                                           ;Safari    ;297;18-30;M;0;18
A9       ;NP;/packages                                   ;Chrome    ;1116;31-50;F;1;19
W7       ;PT;/apis/onSite/pGateway/specification         ;Chrome    ;355;31-50;M;1;20
IOS14_7  ;TR;/apis/onSite/pGateway/introduction          ;Chrome    ;247;18-30;M;1;20
IOS8_3   ;JP;/packages                                   ;Chrome    ;273;18-30;M;1;20
IOS14_7_1;LT;/packages                                   ;Chrome    ;902;31-50;F;1;20
A8_1_0   ;JP;/packages                                   ;Chrome    ;328;51+  ;F;0;20
IOS15_7  ;HK;/apis/onSite/pGateway/security              ;Chrome    ;359;31-50;M;0;20
IOS15_6_1;AT;/sdk/mobile/myport/introduction             ;Chrome    ;260;31-50;M;0;20
IOS15_6  ;IL;/apis/onSite/pGateway/deployment            ;Chrome    ;500;51+  ;F;0;20
W8_1     ;GE;/sdk/mobile/myport/download                 ;Chrome    ;293;18-30;F;1;20
IOS15_3  ;CR;/apis/onSite/pGateway/security              ;Chrome    ;264;51+  ;M;1;20
W8_1     ;BR;/sdk/mobile/myport/introduction             ;Chrome    ;302;31-50;F;1;20
IOS13_2_3;SG;/apis/onSite/pGateway/deployment            ;Chrome    ;572;18-30;F;0;20
IOS15_5  ;FR;/packages                                   ;Chrome    ;395;18-30;F;0;20
IOS8_3   ;GB;/sdk/mobile/myport/requirements             ;Edge      ;271;31-50;M;1;20
W7       ;MA;/apis/onSite/pGateway/introduction          ;Edge      ;372;31-50;M;1;20
W7       ;MA;/apis/onSite/pGateway/specification         ;Edge      ;402;31-50;M;1;20
MI10_15  ;ZW;/sdk/mobile/myport/requirements             ;Edge      ;258;18-30;M;1;20
W8_1     ;CZ;/                                           ;Edge      ;296;18-30;M;0;20
IOS15_5  ;LT;/sdk/mobile/myport/download                 ;Edge      ;412;51+  ;M;0;20
IOS14_7_1;VE;/packages                                   ;Edge      ;580;51+  ;M;1;20
IOS15_7  ;HU;/sdk/mobile/myport/introduction             ;Edge      ;313;31-50;F;1;20
IOS16_0  ;NP;/                                           ;Edge      ;753;18-30;M;1;20
IOS14_7_1;NO;/                                           ;Edge      ;307;31-50;F;0;20
MI10_14  ;VE;/                                           ;Edge      ;1189;18-30;M;0;20
IOS14_6  ;SG;/                                           ;Edge      ;495;31-50;F;1;20
A13      ;MA;/apis/onSite/pGateway/hardware              ;Firefox   ;163;31-50;F;0;20
W7       ;NL;/apis/onSite/pGateway/security              ;Firefox   ;303;51+  ;F;0;20
W10      ;FI;/apis/onSite/pGateway/introduction          ;Firefox   ;411;31-50;M;1;20
IOS15_5  ;PE;/apis/onSite/pGateway/specification         ;Firefox   ;548;18-30;F;0;20
IOS15_6_1;ZW;/apis/onSite/pGateway/deployment            ;Firefox   ;426;31-50;F;1;20
A6       ;US;/apis/onSite/pGateway/deployment            ;Firefox   ;288;51+  ;M;1;20
MI10_15  ;TH;/packages                                   ;Firefox   ;160;51+  ;M;0;20
IOS8_3   ;FI;/apis/onSite/pGateway/introduction          ;Opera     ;547;51+  ;F;1;20
IOS15_3_1;MA;/apis/onSite/pGateway/hardware              ;Opera     ;314;31-50;F;0;20
A8_0_0   ;PK;/packages                                   ;Opera     ;277;51+  ;F;0;20
IOS8_3   ;ZA;/apis/onSite/pGateway/security              ;Opera     ;235;51+  ;F;1;20
IOS15_6  ;VN;/apis/onSite/pGateway/specification         ;Opera     ;463;31-50;F;1;20
IOS15_4_1;CN;/sdk/mobile/myport/requirements             ;Opera     ;1050;18-30;F;0;20
W7       ;ES;/packages                                   ;Opera     ;633;51+  ;M;1;20
A11      ;NO;/apis/onSite/pGateway/introduction          ;Opera     ;210;31-50;M;1;20
A6       ;IO;/apis/onSite/pGateway/hardware              ;Opera     ;256;31-50;M;1;20
MI10_15  ;RO;/apis/onSite/pGateway/specification         ;Opera     ;346;31-50;M;1;20
MI10_14  ;DK;/apis/onSite/pGateway/security              ;Opera     ;749;51+  ;F;1;20
IOS13_2_3;AT;/apis/onSite/pGateway/hardware              ;Opera     ;506;18-30;M;1;20
IOS15_2  ;AT;/apis/cloud/robot/introduction              ;Safari    ;375;18-30;F;0;20
A12      ;RO;/apis/onSite/pGateway/hardware              ;Safari    ;272;18-30;M;1;20
A12      ;FI;/apis/onSite/pGateway/deployment            ;Safari    ;317;18-30;F;0;20
A13      ;MY;/                                           ;Safari    ;335;31-50;F;0;20
IOS15_4_1;EG;/packages                                   ;Chrome    ;436;31-50;F;1;21
IOS14_6  ;AT;/apis/onSite/pGateway/security              ;Chrome    ;414;51+  ;M;0;21
IOS15_4  ;IO;/apis/onSite/pGateway/deployment            ;Chrome    ;591;31-50;M;1;21
A6       ;RS;/apis/onSite/pGateway/introduction          ;Chrome    ;328;51+  ;M;1;21
MI10_15  ;HR;/apis/onSite/pGateway/introduction          ;Chrome    ;275;18-30;F;1;21
IOS15_6  ;SI;/packages                                   ;Edge      ;214;51+  ;F;1;21
IOS8_3   ;RO;/apis/onSite/pGateway/introduction          ;Edge      ;296;18-30;F;1;21
IOS15_6  ;NZ;/packages                                   ;Edge      ;427;31-50;F;1;21
MI10_13  ;JP;/packages                                   ;Edge      ;580;18-30;M;0;21
IOS15_5  ;FR;/apis/onSite/pGateway/introduction          ;Edge      ;316;51+  ;F;1;21
IOS15_4  ;EG;/apis/onSite/pGateway/specification         ;Firefox   ;1001;31-50;M;1;21
W7       ;ZW;/                                           ;Firefox   ;418;31-50;M;0;21
IOS15_3  ;NO;/apis/onSite/pGateway/specification         ;Firefox   ;899;31-50;M;0;21
IOS11_0  ;IE;/                                           ;Firefox   ;605;18-30;F;0;21
IOS14_7  ;IE;/apis/onSite/pGateway/specification         ;Firefox   ;360;31-50;F;0;21
IOS14_7_1;FI;/apis/onSite/pGateway/introduction          ;Firefox   ;972;18-30;M;0;21
A9       ;RU;/                                           ;Firefox   ;381;31-50;M;0;21
W8_1     ;NZ;/apis/onSite/pGateway/hardware              ;Firefox   ;107;51+  ;M;1;21
IOS15_6  ;HU;/sdk/mobile/myport/introduction             ;Opera     ;450;18-30;F;0;21
IOS15_2  ;AT;/apis/onSite/pGateway/hardware              ;Opera     ;157;18-30;F;1;21
A8_0_0   ;CR;/apis/onSite/pGateway/hardware              ;Opera     ;197;18-30;F;0;21
IOS15_4  ;GR;/                                           ;Opera     ;450;51+  ;M;0;21
A8_0_0   ;ID;/apis/onSite/pGateway/specification         ;Opera     ;449;18-30;M;0;21
W10      ;ZA;/apis/onSite/pGateway/introduction          ;Safari    ;941;18-30;M;1;21
A8_1_0   ;MA;/apis/onSite/pGateway/hardware              ;Safari    ;474;31-50;F;1;21
IOS15_5  ;SI;/apis/onSite/pGateway/deployment            ;Safari    ;478;18-30;M;0;21
IOS14_6  ;GB;/packages                                   ;Chrome    ;286;51+  ;F;1;22
IOS15_3_1;HU;/                                           ;Chrome    ;418;18-30;M;1;22
W8_1     ;VN;/packages                                   ;Chrome    ;341;18-30;M;1;22
IOS15_6  ;GE;/apis/cloud/statusIndicators/introduction   ;Chrome    ;680;18-30;F;0;22
IOS13_2_3;RO;/                                           ;Edge      ;905;31-50;F;0;22
IOS15_2  ;HU;/sdk/mobile/myport/introduction             ;Edge      ;1297;18-30;M;0;22
W8_1     ;PK;/sdk/mobile/myport/introduction             ;Edge      ;183;18-30;F;1;22
W8_1     ;AU;/                                           ;Edge      ;653;18-30;F;0;22
W8_1     ;AR;/                                           ;Edge      ;578;18-30;F;0;22
IOS11_0  ;AU;/legal-notice                               ;Edge      ;246;18-30;F;1;22
IOS15_7  ;AE;/apis/cloud/maintenanceInformation/introduct;Firefox   ;146;18-30;M;1;22
MI10_15  ;MY;/apis/cloud/liveVisualization/introduction  ;Firefox   ;414;18-30;F;1;22
MI10_13  ;AU;/sdk/mobile/myport/specification            ;Firefox   ;412;51+  ;M;1;22
MI10_14  ;SK;/packages                                   ;Firefox   ;193;18-30;M;1;22
MI10_13  ;PK;/                                           ;Firefox   ;1090;18-30;M;1;22
A9       ;BG;/                                           ;Opera     ;180;51+  ;F;1;22
IOS14_7  ;RS;/packages                                   ;Opera     ;604;18-30;F;0;22
MI10_13  ;VE;/apis/onSite/pGateway/introduction          ;Opera     ;158;51+  ;M;0;22
A8_0_0   ;EG;/packages                                   ;Opera     ;386;18-30;F;1;22
LX       ;MA;/terms-conditions                           ;Opera     ;606;18-30;F;0;22
IOS14_7_1;GB;/                                           ;Opera     ;1119;31-50;F;0;22
LX       ;MT;/apis/cloud/robot/introduction              ;Opera     ;592;31-50;M;0;22
MI10_15  ;IT;/packages                                   ;Safari    ;544;18-30;F;0;22
MI10_14  ;SK;/news                                       ;Safari    ;787;31-50;M;0;22
MI10_15  ;NO;/apis/cloud/robot/introduction              ;Safari    ;357;51+  ;M;1;22
MI10_15  ;DE;/packages                                   ;Safari    ;614;18-30;F;0;22
IOS15_4_1;PK;/sdk/mobile/myport/release-note             ;Safari    ;498;18-30;F;0;22
IOS15_5  ;MX;/packages                                   ;Chrome    ;911;31-50;M;0;23
IOS15_2  ;LT;/                                           ;Chrome    ;190;31-50;M;1;23
IOS14_7  ;CA;/sdk/mobile/myport/download                 ;Chrome    ;626;31-50;F;0;23
IOS15_6_1;PT;/news/c9592ecb-69b9-eb11-b81f-00155d0ace00  ;Chrome    ;181;31-50;M;0;23
IOS14_7  ;NO;/apis/cloud/robot/usage                     ;Chrome    ;290;51+  ;F;0;23
MI10_14  ;CA;/apis/onSite/pGateway/security              ;Chrome    ;475;18-30;F;1;23
IOS16_0  ;AE;/apis/onSite/pGateway/specification         ;Chrome    ;670;51+  ;M;0;23
IOS15_3  ;SI;/apis/cloud/liveVisualization/specification ;Chrome    ;1305;51+  ;M;1;23
IOS15_7  ;TH;/                                           ;Chrome    ;872;51+  ;M;1;23
W7       ;UA;/                                           ;Edge      ;1087;18-30;F;1;23
IOS15_6  ;FI;/apis/onSite/pGateway/hardware              ;Edge      ;487;31-50;M;0;23
A8_0_0   ;SK;/apis/cloud/robot/introduction              ;Edge      ;201;18-30;F;1;23
MI10_13  ;RS;/sdk/mobile/myport/usage                    ;Edge      ;308;31-50;M;1;23
W7       ;GB;/apis/cloud/robot/specification             ;Edge      ;750;51+  ;M;1;23
A6       ;AT;/apis/cloud/robot/specification             ;Edge      ;377;18-30;F;0;23
A9       ;MX;/sdk/mobile/myport/requirements             ;Edge      ;325;18-30;M;1;23
A11      ;SI;/apis/onSite/pGateway/deployment            ;Firefox   ;362;51+  ;F;0;23
W10      ;MA;/                                           ;Firefox   ;778;51+  ;F;1;23
IOS14_7  ;DE;/                                           ;Firefox   ;561;18-30;F;1;23
IOS15_5  ;ES;/                                           ;Firefox   ;522;51+  ;M;0;23
IOS15_7  ;MT;/apis/onSite/pGateway/specification         ;Opera     ;564;51+  ;F;0;23
MI10_13  ;TR;/apis/onSite/pGateway/deployment            ;Opera     ;634;18-30;M;0;23
IOS13_2_3;US;/packages                                   ;Opera     ;115;31-50;F;0;23
A6       ;JP;/apis/onSite/pGateway/hardware              ;Safari    ;399;51+  ;M;0;23
W7       ;LT;/apis/cloud/robot/usage                     ;Safari    ;1012;51+  ;M;1;23
IOS11_0  ;GR;/apis/onSite/pGateway/security              ;Safari    ;258;51+  ;M;1;23
IOS14_7  ;AE;/sdk/mobile/myport/specification            ;Safari    ;235;18-30;M;0;23
A11      ;PL;/apis/onSite/pGateway/specification         ;Safari    ;705;18-30;M;0;23
IOS15_7  ;HR;/sdk/mobile/myport/release-note             ;Safari    ;316;51+  ;M;0;23
W8_1     ;CH;/                                           ;Safari    ;639;51+  ;M;1;23
A6       ;CA;/apis/cloud/statusIndicators/specification  ;Safari    ;284;18-30;M;0;23
LX       ;EG;/apis/onSite/pGateway/introduction          ;Safari    ;497;18-30;M;0;23
IOS15_3_1;NO;/apis/cloud/maintenanceInformation/specifica;Safari    ;348;18-30;F;0;23
IOS15_6  ;TR;/apis/cloud/robot/specification             ;Chrome    ;262;51+  ;M;1;24
IOS14_7  ;PK;/                                           ;Chrome    ;499;18-30;F;0;24
IOS13_2_3;DK;/apis/cloud/liveVisualization/specification ;Chrome    ;668;31-50;F;0;24
A6       ;BG;/packages                                   ;Chrome    ;269;31-50;F;1;24
IOS15_6  ;NO;/apis/onSite/pGateway/introduction          ;Edge      ;1158;31-50;F;1;24
A13      ;MX;/                                           ;Edge      ;650;51+  ;F;0;24
A11      ;NZ;/apis/onSite/pGateway/hardware              ;Edge      ;182;18-30;F;1;24
LX       ;FI;/apis/cloud/maintenanceInformation/specifica;Edge      ;778;18-30;F;1;24
IOS15_4_1;PT;/sdk/mobile/myport/usage                    ;Edge      ;209;18-30;F;0;24
IOS15_6  ;CZ;/sdk/mobile/myport/introduction             ;Edge      ;215;31-50;M;0;24
A11      ;ZW;/apis/onSite/pGateway/deployment            ;Firefox   ;271;18-30;M;1;24
IOS15_2  ;BE;/apis/cloud/liveVisualization/specification ;Firefox   ;224;51+  ;M;1;24
W7       ;PK;/apis/onSite/pGateway/hardware              ;Firefox   ;227;18-30;F;0;24
LX       ;ZW;/sdk/mobile/myport/specification            ;Firefox   ;394;31-50;F;1;24
A12      ;GR;/sdk/mobile/myport/specification            ;Firefox   ;371;18-30;M;0;24
IOS15_6_1;SE;/sdk/mobile/myport/download                 ;Firefox   ;313;51+  ;F;1;24
A11      ;SE;/sdk/mobile/myport/usage                    ;Firefox   ;1058;51+  ;F;0;24
IOS14_7  ;ZA;/                                           ;Firefox   ;297;51+  ;F;1;24
W10      ;HK;/sdk/mobile/myport/specification            ;Opera     ;945;31-50;F;1;24
A12      ;HK;/                                           ;Opera     ;293;51+  ;M;1;24
A9       ;NL;/                                           ;Opera     ;283;31-50;F;0;24
W10      ;EG;/                                           ;Opera     ;935;18-30;F;0;24
W10      ;SG;/apis/onSite/pGateway/security              ;Opera     ;426;31-50;F;1;24
W7       ;NP;/apis/cloud/statusIndicators/specification  ;Opera     ;509;18-30;M;1;24
MI10_14  ;MY;/                                           ;Safari    ;645;18-30;F;1;24
IOS14_6  ;BH;/apis/onSite/pGateway/specification         ;Chrome    ;1091;51+  ;F;0;25
W7       ;BE;/apis/cloud/robot/specification             ;Chrome    ;927;18-30;M;0;25
IOS15_7  ;BR;/                                           ;Edge      ;603;51+  ;F;1;25
W7       ;PK;/apis/cloud/robot/introduction              ;Edge      ;463;18-30;M;1;25
A8_0_0   ;EE;/packages                                   ;Opera     ;99;18-30;M;0;25
A8_1_0   ;AU;/packages                                   ;Opera     ;351;18-30;F;0;25
A11      ;BE;/apis/onSite/pGateway/introduction          ;Safari    ;247;51+  ;M;0;25
IOS15_4  ;CH;/                                           ;Safari    ;187;51+  ;M;1;25
IOS8_3   ;GR;/packages                                   ;Chrome    ;643;51+  ;M;0;26
A12      ;GE;/apis/onSite/pGateway/introduction          ;Chrome    ;1031;18-30;F;1;26
A8_1_0   ;BH;/apis/onSite/pGateway/hardware              ;Firefox   ;519;18-30;F;0;26
A9       ;CZ;/                                           ;Safari    ;217;18-30;F;1;26
A10      ;PL;/                                           ;Opera     ;741;18-30;M;0;27
IOS13_2_3;FI;/                                           ;Opera     ;454;31-50;M;1;27
IOS8_3   ;MA;/terms-conditions                           ;Edge      ;277;51+  ;F;0;28
A13      ;BR;/                                           ;Firefox   ;869;51+  ;F;1;28
MI10_13  ;BG;/                                           ;Safari    ;709;18-30;F;0;28
A12      ;MY;/                                           ;Safari    ;803;51+  ;M;1;29
IOS16_0  ;SK;/                                           ;Edge      ;173;18-30;F;0;30
IOS15_3_1;TR;/                                           ;Chrome    ;432;18-30;F;0;31
A13      ;SG;/apis/onSite/pGateway/hardware              ;Edge      ;516;51+  ;F;1;31
